"Carimbo de data/hora","Nome (operador)","#TICKET","CONTRATO"
"2023/05/16 7:14:16 PM GMT-3","Andreia Santos ","Ticket #54540","FUNDAÇOES"
"2023/05/16 7:19:39 PM GMT-3","Rômulo","Ticket #54545","PJ COLETIVO POR ADESÃO"
"2023/05/16 7:24:47 PM GMT-3","Renato","Ticket: #54428","PJ EMPRESARIAL"
"2023/05/16 7:28:34 PM GMT-3","Rômulo","Ticket #54548","PJ EMPRESARIAL"
"2023/05/16 7:29:43 PM GMT-3","Renato","Ticket #54418","PJ EMPRESARIAL"
"2023/05/16 7:39:35 PM GMT-3","Renato","Ticket: #54434","PF"
"2023/05/16 7:43:25 PM GMT-3","Renato","Ticket #54522","INTERCAMBIO"
"2023/05/16 7:46:06 PM GMT-3","Andreia Santos","Ticket #54476","PJ COLETIVO POR ADESÃO"
"2023/05/16 7:54:05 PM GMT-3","Renato","Ticket: #54435 ","PJ EMPRESARIAL"
"2023/05/16 7:59:31 PM GMT-3","Renato","Ticket #54437","PF"
"2023/05/16 8:00:06 PM GMT-3","Renato","Ticket #54437","PJ EMPRESARIAL"
"2023/05/16 8:02:01 PM GMT-3","Andreia Santos","Ticket #54485","PJ COLETIVO POR ADESÃO"
"2023/05/16 8:05:24 PM GMT-3","Renato","Ticket #54439","PJ EMPRESARIAL"
"2023/05/16 8:13:04 PM GMT-3","Andreia Santos","Ticket #54486","PJ EMPRESARIAL"
"2023/05/16 8:18:09 PM GMT-3","Renato","Ticket #54442","PF"
"2023/05/16 8:18:56 PM GMT-3","Andreia Santos","Ticket #54487","PJ COLETIVO POR ADESÃO"
"2023/05/16 8:19:39 PM GMT-3","Eugenia","Ticket #54509","PF"
"2023/05/16 8:20:01 PM GMT-3","Nicoly lima","Ticket: #54329","INTERCAMBIO"
"2023/05/16 8:21:19 PM GMT-3","Eugenia","Ticket #54513","PJ EMPRESARIAL"
"2023/05/16 8:21:26 PM GMT-3","Nicoly lima","Ticket: #54327","PJ COLETIVO POR ADESÃO"
"2023/05/16 8:22:55 PM GMT-3","Renato","Ticket #54455","PJ EMPRESARIAL"
"2023/05/16 8:25:28 PM GMT-3","Andreia Santos","Ticket #54252","PJ COLETIVO POR ADESÃO"
"2023/05/16 8:29:49 PM GMT-3","Renato","Ticket #54458 ","INTERCAMBIO"
"2023/05/16 8:35:20 PM GMT-3","Renato","Ticket #54459","PF"
"2023/05/16 8:44:22 PM GMT-3","Renato","Ticket: #54538","CAASC 0976"
"2023/05/16 8:45:34 PM GMT-3","Renato","Ticket #54464","PF"
"2023/05/16 9:02:10 PM GMT-3","Nicoly lima","Ticket: #54325","PJ EMPRESARIAL"
"2023/05/16 9:02:44 PM GMT-3","Rômulo","Ticket #54570","PJ EMPRESARIAL"
"2023/05/16 9:15:59 PM GMT-3","Renato","Ticket #54536","PF"
"2023/05/16 9:17:42 PM GMT-3","Rômulo","Ticket #54574","PJ EMPRESARIAL"
"2023/05/16 9:24:55 PM GMT-3","Renato","Ticket #54543 ","PJ EMPRESARIAL"
"2023/05/16 9:26:34 PM GMT-3","Andreia Santos","Ticket #54490","PJ COLETIVO POR ADESÃO"
"2023/05/16 9:27:18 PM GMT-3","Renato","Ticket #54569","PJ EMPRESARIAL"
"2023/05/16 9:28:40 PM GMT-3","Nicoly lima","Ticket: #54325","PJ EMPRESARIAL"
"2023/05/16 9:30:53 PM GMT-3","Nicoly lima","Ticket: #54339","PJ EMPRESARIAL"
"2023/05/16 9:40:31 PM GMT-3","Nicoly lima","Ticket: #54340","PJ EMPRESARIAL"
"2023/05/16 9:46:44 PM GMT-3","Andreia Santos","Ticket #54491","PF"
"2023/05/16 9:47:59 PM GMT-3","eugenia","Ticket #54511","PF"
"2023/05/16 9:48:53 PM GMT-3","Eugenia","Ticket #54517","PF"
"2023/05/16 9:52:49 PM GMT-3","Andreia Santos ","Ticket #54496","PF"
"2023/05/16 9:59:13 PM GMT-3","aNDREIA sANTOS","Ticket #54498","PF"
"2023/05/16 10:31:14 PM GMT-3","Andreia Santos","Ticket #54495","PJ COLETIVO POR ADESÃO"
"2023/05/16 10:43:57 PM GMT-3","Andreia Santos","Ticket #54501","PF"
"2023/05/16 10:49:24 PM GMT-3","Andreia Santos ","Ticket #54500","PJ EMPRESARIAL"
"2023/05/16 10:56:06 PM GMT-3","Andreia Santos","Ticket #54502","PF"
"2023/05/16 11:01:00 PM GMT-3","Andreia Santos","Ticket #5450","PJ EMPRESARIAL"
"2023/05/16 11:06:00 PM GMT-3","Andreia Santos","Ticket #54527","PF"
"2023/05/16 11:10:04 PM GMT-3","Andreia Santos","Ticket #54514","PF"
"2023/05/16 11:12:43 PM GMT-3","Andreia Santos","Ticket #54515","UFSC"
"2023/05/16 11:16:16 PM GMT-3","Andreia Santos ","Ticket #54529","UFSC"
"2023/05/16 11:21:51 PM GMT-3","Andreia Santos","Ticket #54551","PJ COLETIVO POR ADESÃO"
"2023/05/16 11:27:53 PM GMT-3","Andreia Santos","Ticket #54549","INTERCAMBIO"
"2023/05/16 11:33:48 PM GMT-3","Andreia Santos","Ticket #54552","PF"
"2023/05/16 11:37:55 PM GMT-3","Andreia Santos","Ticket #54568","PJ COLETIVO POR ADESÃO"
"2023/05/16 11:43:39 PM GMT-3","Andreia Santos","Ticket #54575","PJ COLETIVO POR ADESÃO"
"2023/05/16 11:50:07 PM GMT-3","Andreia Santos","Ticket #54587","PJ EMPRESARIAL"
"2023/05/16 11:52:25 PM GMT-3","Eugenia","Ticket #54560","UFSC"
"2023/05/16 11:54:07 PM GMT-3","Andreia santos","Ticket #54585","FUNDAÇOES"
"2023/05/17 12:26:01 AM GMT-3","Eugenia","Ticket #54600","PF"
"2023/05/17 12:26:12 AM GMT-3","eugenia","Ticket #54598","UFSC"
"2023/05/17 12:30:03 AM GMT-3","Waldemar Bilhalva","Ticket: #54628","PJ EMPRESARIAL"
"2023/05/17 1:13:39 AM GMT-3","diana melo","Ticket #54629","PJ EMPRESARIAL"
"2023/05/17 3:49:41 AM GMT-3","Diana melo","Ticket #54630","INTERCAMBIO"
"2023/05/17 3:50:43 AM GMT-3","Diana melo","Ticket #54631","PF"
"2023/05/17 6:28:54 AM GMT-3","Sara Zimmermann","Ticket #54632","PJ COLETIVO POR ADESÃO"
"2023/05/17 6:29:28 AM GMT-3","Sara zimmermann","Ticket #54633","PJ EMPRESARIAL"
"2023/05/17 6:46:56 AM GMT-3","Sara zimmermann","Ticket #54634","PJ EMPRESARIAL"
"2023/05/17 6:57:59 AM GMT-3","Sara zimmermann","Ticket #54635","PJ EMPRESARIAL"
"2023/05/17 7:08:19 AM GMT-3","sara zimmermann","Ticket #54635","PJ EMPRESARIAL"
"2023/05/17 7:14:20 AM GMT-3","Bianca","Ticket: #54643","PJ EMPRESARIAL"
"2023/05/17 7:17:22 AM GMT-3","Bianca","Ticket: #54644","UFSC"
"2023/05/17 7:18:58 AM GMT-3","Bianca","Ticket: #54646","PJ EMPRESARIAL"
"2023/05/17 7:32:43 AM GMT-3","juliana","#54641","PJ EMPRESARIAL"
"2023/05/17 7:35:57 AM GMT-3","juliana","#54640","PF"
"2023/05/17 7:36:58 AM GMT-3","Bianca","Ticket: #54650","PJ EMPRESARIAL"
"2023/05/17 7:40:26 AM GMT-3","Bianca","Ticket: #54651","PF"
"2023/05/17 7:42:24 AM GMT-3","juliana","#54642","INTERCAMBIO"
"2023/05/17 7:54:01 AM GMT-3","juliana","#54648","PJ EMPRESARIAL"
"2023/05/17 7:58:23 AM GMT-3","Érika Mulasssani Mainardi ","Ticket: #54652","PJ EMPRESARIAL"
"2023/05/17 7:58:47 AM GMT-3","juliana","#54649","PJ EMPRESARIAL"
"2023/05/17 8:04:08 AM GMT-3","Bianca ","Ticket: #54655","PJ COLETIVO POR ADESÃO"
"2023/05/17 8:05:56 AM GMT-3","Érika Mulasssani Mainardi ","Ticket: #54656","PJ EMPRESARIAL"
"2023/05/17 8:08:02 AM GMT-3","Érika Mulassani Mainardi ","Ticket: #54654","PF"
"2023/05/17 8:08:40 AM GMT-3","Érika Mulasssani Mainardi ","Ticket: #54653","PJ EMPRESARIAL"
"2023/05/17 8:09:36 AM GMT-3","Érika Mulasssani Mainardi ","Ticket: #54658","PF"
"2023/05/17 8:09:59 AM GMT-3","arian","Ticket: #54657","PJ EMPRESARIAL"
"2023/05/17 8:14:16 AM GMT-3","Érika Mulasssani Mainardi ","Ticket: #54659","PJ EMPRESARIAL"
"2023/05/17 8:15:08 AM GMT-3","Érika Mulasssani Mainardi ","Ticket: #54660","PJ EMPRESARIAL"
"2023/05/17 8:15:46 AM GMT-3","Érika Mulasssani Mainardi ","Ticket: #54661","PF"
"2023/05/17 8:16:14 AM GMT-3","Érika Mulasssani Mainardi ","Ticket: #54663","PF"
"2023/05/17 8:17:30 AM GMT-3","Érika Mulasssani Mainardi ","Ticket: #54664","PJ EMPRESARIAL"
"2023/05/17 8:22:24 AM GMT-3","Érika Mulasssani Mainardi ","Ticket: #54667","PF"
"2023/05/17 8:22:44 AM GMT-3","Bianca","Ticket: #54662","PJ EMPRESARIAL"
"2023/05/17 8:26:42 AM GMT-3","Érika Mulasssani Mainardi ","Ticket: #54669","PJ COLETIVO POR ADESÃO"
"2023/05/17 8:30:15 AM GMT-3","Érika Mainardi ","Ticket: #54671","PF"
"2023/05/17 8:32:56 AM GMT-3","Érika Mulasssani Mainardi ","Ticket: #54674","PJ EMPRESARIAL"
"2023/05/17 8:37:47 AM GMT-3","Bianca","Ticket: #54675","PJ EMPRESARIAL"
"2023/05/17 8:43:25 AM GMT-3","Érika Mulasssani Mainardi ","Ticket: #54679","UFSC"
"2023/05/17 8:44:16 AM GMT-3","Érika Mulasssani Mainardi ","Ticket: #54684","UFSC"
"2023/05/17 8:46:01 AM GMT-3","Érika Mulasssani Mainardi ","Ticket: #54686","PJ EMPRESARIAL"
"2023/05/17 8:46:35 AM GMT-3","Érika Mulasssani Mainardi ","Ticket: #54688","PF"
"2023/05/17 8:51:49 AM GMT-3","Érika Mulasssani Mainardi ","Ticket: #54686","PJ EMPRESARIAL"
"2023/05/17 8:52:36 AM GMT-3","Érika Mulasssani Mainardi ","Ticket: #54688","PF"
"2023/05/17 8:53:53 AM GMT-3","Érika Mulasssani Mainardi ","Ticket: #54691","PJ EMPRESARIAL"
"2023/05/17 8:54:47 AM GMT-3","Érika Mulasssani Mainardi ","Ticket: #31969","PJ EMPRESARIAL"
"2023/05/17 8:57:35 AM GMT-3","VAL","Ticket #54695","PJ EMPRESARIAL"
"2023/05/17 9:07:57 AM GMT-3","VAL","Ticket #54703","PJ EMPRESARIAL"
"2023/05/17 9:08:18 AM GMT-3","VAL","Ticket #54704","PJ EMPRESARIAL"
"2023/05/17 9:13:22 AM GMT-3","Bianca","Ticket: #54692","INTERCAMBIO"
"2023/05/17 9:16:28 AM GMT-3","estela","Ticket: #54709","PJ COLETIVO POR ADESÃO"
"2023/05/17 9:19:04 AM GMT-3","estela","Ticket: #54710","PF"
"2023/05/17 9:19:09 AM GMT-3","Vanessa Rosa","Ticket: #54689","PJ EMPRESARIAL"
"2023/05/17 9:24:03 AM GMT-3","Milenna","Ticket #54714","PJ EMPRESARIAL"
"2023/05/17 9:28:00 AM GMT-3","Bianca","Ticket: #54693","PJ EMPRESARIAL"
"2023/05/17 9:29:30 AM GMT-3","estela","Ticket: #54720","INTERCAMBIO"
"2023/05/17 9:31:07 AM GMT-3","estela","Ticket: #54718","PJ EMPRESARIAL"
"2023/05/17 9:32:38 AM GMT-3","juliana"," #54672","PJ EMPRESARIAL"
"2023/05/17 9:36:21 AM GMT-3","juliana","#54673","PJ EMPRESARIAL"
"2023/05/17 9:37:30 AM GMT-3","Bianca","Ticket: #54697","CAASC 0025"
"2023/05/17 9:38:47 AM GMT-3","estela","Ticket: #54722","PF"
"2023/05/17 9:40:01 AM GMT-3","Bianca","Ticket: #54698","PJ EMPRESARIAL"
"2023/05/17 9:42:39 AM GMT-3","Milenna","Ticket #54716","PJ EMPRESARIAL"
"2023/05/17 9:49:28 AM GMT-3","Érika Mulasssani Mainardi ","Ticket: #54727","INTERCAMBIO"
"2023/05/17 9:51:29 AM GMT-3","Milenna","Ticket #54732","PJ EMPRESARIAL"
"2023/05/17 9:53:57 AM GMT-3","Davi","Ticket #54742","PJ COLETIVO POR ADESÃO"
"2023/05/17 9:54:32 AM GMT-3","Milenna","Ticket #54733","PJ EMPRESARIAL"
"2023/05/17 9:54:42 AM GMT-3","VAL ","Ticket #54741","INTERCAMBIO"
"2023/05/17 9:54:59 AM GMT-3","Davi","Ticket #54739","PF"
"2023/05/17 9:55:43 AM GMT-3","Milenna","Ticket #54734","PJ EMPRESARIAL"
"2023/05/17 9:56:23 AM GMT-3","Davi","Ticket #54747","INTERCAMBIO"
"2023/05/17 9:56:54 AM GMT-3","Davi","Ticket #54749","INTERCAMBIO"
"2023/05/17 9:57:42 AM GMT-3","estela","Ticket: #54736","PJ EMPRESARIAL"
"2023/05/17 9:57:51 AM GMT-3","Davi","Ticket #54743","PJ EMPRESARIAL"
"2023/05/17 9:58:28 AM GMT-3","Natalia","Ticket: #54731","PJ EMPRESARIAL"
"2023/05/17 9:58:52 AM GMT-3","Davi","Ticket #54744","UFSC"
"2023/05/17 9:59:09 AM GMT-3","Natalia","Ticket: #54726","PJ EMPRESARIAL"
"2023/05/17 9:59:30 AM GMT-3","Milenna","#TICKET 54750","UFSC"
"2023/05/17 10:00:34 AM GMT-3","Milenna","Ticket #54737","PJ EMPRESARIAL"
"2023/05/17 10:00:36 AM GMT-3","Davi","Ticket #54745","PJ COLETIVO POR ADESÃO"
"2023/05/17 10:01:01 AM GMT-3","Bianca","Ticket: #54753","INTERCAMBIO"
"2023/05/17 10:01:27 AM GMT-3","Davi","Ticket #54746","PJ EMPRESARIAL"
"2023/05/17 10:03:17 AM GMT-3","VAL ","Ticket #54752","PJ EMPRESARIAL"
"2023/05/17 10:03:53 AM GMT-3","arian","Ticket: #31974","EXONERADO"
"2023/05/17 10:04:14 AM GMT-3","Davi","Ticket #54755","PJ EMPRESARIAL"
"2023/05/17 10:05:46 AM GMT-3","juliana","#54676","PJ EMPRESARIAL"
"2023/05/17 10:05:51 AM GMT-3","Davi","Ticket #54756","PJ EMPRESARIAL"
"2023/05/17 10:06:46 AM GMT-3","Davi","Ticket #54757","PJ EMPRESARIAL"
"2023/05/17 10:09:00 AM GMT-3","Milenna","Ticket #54733","PJ EMPRESARIAL"
"2023/05/17 10:17:04 AM GMT-3","juliana","#54676","PJ EMPRESARIAL"
"2023/05/17 10:17:41 AM GMT-3","Érika Mulasssani Mainardi ","Ticket: #54738","PJ EMPRESARIAL"
"2023/05/17 10:18:15 AM GMT-3","Érika Mulasssani Mainardi ","Ticket: #54766","PF"
"2023/05/17 10:18:25 AM GMT-3","Bianca","Ticket: #54701","PJ EMPRESARIAL"
"2023/05/17 10:19:15 AM GMT-3","Érika Mulasssani Mainardi ","Ticket: #54767","PJ EMPRESARIAL"
"2023/05/17 10:22:29 AM GMT-3","Natalia","Ticket: #54763","PJ COLETIVO POR ADESÃO"
"2023/05/17 10:22:53 AM GMT-3","Érika Mulasssani Mainardi ","Ticket: #54771","PJ EMPRESARIAL"
"2023/05/17 10:23:23 AM GMT-3","Milenna","Ticket #54774","PJ EMPRESARIAL"
"2023/05/17 10:23:34 AM GMT-3","Érika Mulasssani Mainardi ","Ticket: #54770","PJ COLETIVO POR ADESÃO"
"2023/05/17 10:24:20 AM GMT-3","Davi","Ticket #54765","PJ EMPRESARIAL"
"2023/05/17 10:24:27 AM GMT-3","Érika Mulasssani Mainardi ","Ticket: #54769","PJ EMPRESARIAL"
"2023/05/17 10:25:39 AM GMT-3","VAL","Ticket #54776","PJ EMPRESARIAL"
"2023/05/17 10:25:56 AM GMT-3","Davi","Ticket #54764","PJ EMPRESARIAL"
"2023/05/17 10:26:00 AM GMT-3","Bianca","Ticket: #54775","PJ COLETIVO POR ADESÃO"
"2023/05/17 10:26:50 AM GMT-3","Bianca","Ticket: #54777","PJ EMPRESARIAL"
"2023/05/17 10:26:59 AM GMT-3","Natalia","Ticket: #54778","PF"
"2023/05/17 10:28:04 AM GMT-3","Bianca","Ticket: #54759","PJ EMPRESARIAL"
"2023/05/17 10:28:43 AM GMT-3","Bianca","Ticket: #54748","PJ EMPRESARIAL"
"2023/05/17 10:28:49 AM GMT-3","Natalia","Ticket: #54779","PF"
"2023/05/17 10:29:18 AM GMT-3","juliana"," #54678","PJ COLETIVO POR ADESÃO"
"2023/05/17 10:30:21 AM GMT-3","Bianca","Ticket: #54740","PJ EMPRESARIAL"
"2023/05/17 10:30:43 AM GMT-3","juliana"," #54677","PF"
"2023/05/17 10:30:55 AM GMT-3","VAL","Ticket #54780","PF"
"2023/05/17 10:30:57 AM GMT-3","Bianca","Ticket: #54730","PJ COLETIVO POR ADESÃO"
"2023/05/17 10:35:47 AM GMT-3","Bianca","Ticket: #54786","PJ EMPRESARIAL"
"2023/05/17 10:38:02 AM GMT-3","Natalia","Ticket: #54787","FUNDAÇOES"
"2023/05/17 10:39:32 AM GMT-3","VAL","Ticket #54788","PF"
"2023/05/17 10:47:27 AM GMT-3","VAL ","Ticket #54795","PJ EMPRESARIAL"
"2023/05/17 10:48:19 AM GMT-3","juliana","#54773","PJ COLETIVO POR ADESÃO"
"2023/05/17 10:49:23 AM GMT-3","Milenna","Ticket #54774","PJ EMPRESARIAL"
"2023/05/17 10:49:28 AM GMT-3","Érika Mulasssani Mainardi ","Ticket: #54771","PJ EMPRESARIAL"
"2023/05/17 10:50:12 AM GMT-3","Milenna","Ticket #54783","PJ EMPRESARIAL"
"2023/05/17 10:50:19 AM GMT-3","arian","Ticket: #31979","PF"
"2023/05/17 10:51:02 AM GMT-3","VAL ","Ticket #54806","PJ EMPRESARIAL"
"2023/05/17 10:51:12 AM GMT-3","Milenna","Ticket #54790","INTERCAMBIO"
"2023/05/17 10:52:03 AM GMT-3","Milenna","Ticket #54793","UFSC"
"2023/05/17 10:52:17 AM GMT-3","Bianca","Ticket: #54800","PJ EMPRESARIAL"
"2023/05/17 10:53:01 AM GMT-3","Bianca","Ticket: #54794","PJ EMPRESARIAL"
"2023/05/17 10:53:18 AM GMT-3","Érika Mulasssani Mainardi ","Ticket: #54803","PJ EMPRESARIAL"
"2023/05/17 10:53:50 AM GMT-3","Bianca","Ticket: #54792","PF"
"2023/05/17 10:53:59 AM GMT-3","Milenna","Ticket #54797","PJ EMPRESARIAL"
"2023/05/17 10:54:16 AM GMT-3","Davi","Ticket #54760","PJ EMPRESARIAL"
"2023/05/17 10:54:24 AM GMT-3","Bianca","Ticket: #54791","PJ EMPRESARIAL"
"2023/05/17 10:54:48 AM GMT-3","juliana "," #54681","PJ EMPRESARIAL"
"2023/05/17 10:55:04 AM GMT-3","Davi","Ticket #54761","PJ COLETIVO POR ADESÃO"
"2023/05/17 10:55:04 AM GMT-3","Milenna","Ticket #54798","PJ EMPRESARIAL"
"2023/05/17 10:55:48 AM GMT-3","Davi","Ticket #54762","PJ EMPRESARIAL"
"2023/05/17 10:56:30 AM GMT-3","Érika Mulasssani Mainardi ","Ticket: #54808","PJ COLETIVO POR ADESÃO"
"2023/05/17 10:56:32 AM GMT-3","Davi","Ticket #54765","PJ EMPRESARIAL"
"2023/05/17 10:57:06 AM GMT-3","Érika Mulasssani Mainardi ","Ticket: #54809","PJ COLETIVO POR ADESÃO"
"2023/05/17 10:57:14 AM GMT-3","VAL","Ticket #54812","PJ EMPRESARIAL"
"2023/05/17 10:57:19 AM GMT-3","Davi","Ticket #54772","PJ EMPRESARIAL"
"2023/05/17 10:58:13 AM GMT-3","Davi","Ticket #54782","PJ EMPRESARIAL"
"2023/05/17 10:58:39 AM GMT-3","Natalia","Ticket: #54813","PF"
"2023/05/17 10:58:55 AM GMT-3","Davi","Ticket #54804","PJ COLETIVO POR ADESÃO"
"2023/05/17 10:59:19 AM GMT-3","VAL","Ticket #54815","PJ EMPRESARIAL"
"2023/05/17 10:59:35 AM GMT-3","Milenna","Ticket #54801","PJ EMPRESARIAL"
"2023/05/17 10:59:59 AM GMT-3","Érika Mulasssani Mainardi ","Ticket: #54817","PJ EMPRESARIAL"
"2023/05/17 11:04:19 AM GMT-3","VAL ","Ticket #54818","UFSC"
"2023/05/17 11:06:21 AM GMT-3","VAL ","Ticket #54821","PJ COLETIVO POR ADESÃO"
"2023/05/17 11:09:30 AM GMT-3","Érika Mulasssani Mainardi ","Ticket: #54817","PJ EMPRESARIAL"
"2023/05/17 11:10:05 AM GMT-3","Henrique Freitag","Ticket #54819","PJ COLETIVO POR ADESÃO"
"2023/05/17 11:10:11 AM GMT-3","Érika Mulasssani Mainardi ","Ticket: #54828","PJ EMPRESARIAL"
"2023/05/17 11:11:12 AM GMT-3","Davi","Ticket #54805","INTERCAMBIO"
"2023/05/17 11:17:25 AM GMT-3","Henrique Freitag","Ticket #54822","PF"
"2023/05/17 11:17:52 AM GMT-3","VAL ","Ticket #54811","UFSC"
"2023/05/17 11:18:15 AM GMT-3","Henrique Freitag","Ticket #54824","PF"
"2023/05/17 11:19:00 AM GMT-3","Henrique Freitag","Ticket #54825","PJ EMPRESARIAL"
"2023/05/17 11:19:56 AM GMT-3","Henrique Freitag","Ticket #54826","PJ COLETIVO POR ADESÃO"
"2023/05/17 11:20:58 AM GMT-3","Henrique Freitag","Ticket #54829","INTERCAMBIO"
"2023/05/17 11:21:30 AM GMT-3","Henrique Freitag","Ticket #54830","PJ EMPRESARIAL"
"2023/05/17 11:21:59 AM GMT-3","Henrique Freitag","Ticket #54831","PJ COLETIVO POR ADESÃO"
"2023/05/17 11:22:35 AM GMT-3","Henrique Freitag","Ticket #54832","PJ COLETIVO POR ADESÃO"
"2023/05/17 11:23:11 AM GMT-3","Henrique Freitag","Ticket #54833","PJ EMPRESARIAL"
"2023/05/17 11:23:33 AM GMT-3","Davi","Ticket #54836","INTERCAMBIO"
"2023/05/17 11:23:40 AM GMT-3","Henrique Freitag","Ticket #54835","PJ EMPRESARIAL"
"2023/05/17 11:24:21 AM GMT-3","Henrique Freitag","Ticket #54837","PJ EMPRESARIAL"
"2023/05/17 11:24:43 AM GMT-3","Davi","Ticket #54834","INTERCAMBIO"
"2023/05/17 11:24:55 AM GMT-3","Henrique Freitag","Ticket #54838","PJ COLETIVO POR ADESÃO"
"2023/05/17 11:25:25 AM GMT-3","Henrique Freitag","Ticket #54839","PJ COLETIVO POR ADESÃO"
"2023/05/17 11:25:59 AM GMT-3","Henrique Freitag","Ticket #54840","PF"
"2023/05/17 11:26:20 AM GMT-3","Natalia","Ticket: #54850","PJ EMPRESARIAL"
"2023/05/17 11:26:24 AM GMT-3","Henrique Freitag","Ticket #54841","PF"
"2023/05/17 11:27:54 AM GMT-3","Henrique Freitag","Ticket #54845","UFSC"
"2023/05/17 11:28:48 AM GMT-3","Henrique Freitag","Ticket #54847","PF"
"2023/05/17 11:29:19 AM GMT-3","Henrique Freitag","Ticket #54851","PJ EMPRESARIAL"
"2023/05/17 11:29:50 AM GMT-3","Henrique Freitag","Ticket #54852","PJ COLETIVO POR ADESÃO"
"2023/05/17 11:30:06 AM GMT-3","Natalia","Ticket: #54855","PJ EMPRESARIAL"
"2023/05/17 11:30:43 AM GMT-3","Henrique Freitag","Ticket #54853","PJ EMPRESARIAL"
"2023/05/17 11:31:19 AM GMT-3","Érika Mulasssani Mainardi ","Ticket: #54848","INTERCAMBIO"
"2023/05/17 11:32:49 AM GMT-3","Natalia","Ticket: #54857","PJ EMPRESARIAL"
"2023/05/17 11:35:31 AM GMT-3","Henrique Freitag","Ticket #54858","PF"
"2023/05/17 11:36:00 AM GMT-3","Henrique Freitag","Ticket #54860","PJ COLETIVO POR ADESÃO"
"2023/05/17 11:37:06 AM GMT-3","Érika Mulasssani Mainardi ","Ticket: #54859","PJ EMPRESARIAL"
"2023/05/17 11:37:24 AM GMT-3","juliana ","#54682","PF"
"2023/05/17 11:39:44 AM GMT-3","Érika Mulasssani Mainardi ","Ticket: #54862","FUNDAÇOES"
"2023/05/17 11:40:38 AM GMT-3","juliana","#54680","PJ COLETIVO POR ADESÃO"
"2023/05/17 11:43:43 AM GMT-3","Érika Mulasssani Mainardi ","Ticket: #54864","PJ EMPRESARIAL"
"2023/05/17 11:44:21 AM GMT-3","Érika Mulasssani Mainardi ","Ticket: #54865","PJ EMPRESARIAL"
"2023/05/17 11:44:58 AM GMT-3","Juliana","Ticket: #54683","PF"
"2023/05/17 11:44:59 AM GMT-3","Érika Mulasssani Mainardi ","Ticket: #54869","PJ EMPRESARIAL"
"2023/05/17 11:46:35 AM GMT-3","estela","Ticket: #54866","CAASC 0025"
"2023/05/17 11:49:06 AM GMT-3","estela","Ticket: #54867","PF"
"2023/05/17 11:49:52 AM GMT-3","estela","Ticket: #54870","PJ COLETIVO POR ADESÃO"
"2023/05/17 11:50:37 AM GMT-3","Natalia","Ticket: #54874","PJ COLETIVO POR ADESÃO"
"2023/05/17 11:51:36 AM GMT-3","estela","Ticket: #54873","PJ EMPRESARIAL"
"2023/05/17 11:55:11 AM GMT-3","VAL","Ticket #54877","PJ COLETIVO POR ADESÃO"
"2023/05/17 11:55:47 AM GMT-3","Milenna","Ticket #54799","INTERCAMBIO"
"2023/05/17 11:57:02 AM GMT-3","Juliana","Ticket: #54705","PF"
"2023/05/17 11:57:05 AM GMT-3","Érika Mulasssani Mainardi ","Ticket: #54880","PF"
"2023/05/17 11:59:31 AM GMT-3","VAL ","Ticket #54882","PF"
"2023/05/17 12:01:16 PM GMT-3","VAL","Ticket #54879","PF"
"2023/05/17 12:01:19 PM GMT-3","Davi","Ticket #54878","INTERCAMBIO"
"2023/05/17 12:01:34 PM GMT-3","estela","Ticket: #54884","INTERCAMBIO"
"2023/05/17 12:02:04 PM GMT-3","estela","Ticket: #54871","INTERCAMBIO"
"2023/05/17 12:03:43 PM GMT-3","estela","Ticket: #54876","PF"
"2023/05/17 12:05:25 PM GMT-3","Érika Mulasssani Mainardi ","Ticket: #54887","PJ EMPRESARIAL"
"2023/05/17 12:05:56 PM GMT-3","Juliana","Ticket: #54717","PJ EMPRESARIAL"
"2023/05/17 12:10:06 PM GMT-3","Davi","Ticket #54881","CAASC 0976"
"2023/05/17 12:17:32 PM GMT-3","Érika Mulasssani Mainardi ","Ticket: #54889","PJ EMPRESARIAL"
"2023/05/17 12:19:37 PM GMT-3","Henrique Freitag","Ticket #54891","INTERCAMBIO"
"2023/05/17 12:19:56 PM GMT-3","Érika Mulasssani Mainardi ","Ticket: #54883","PJ EMPRESARIAL"
"2023/05/17 12:20:14 PM GMT-3","Henrique Freitag","Ticket #54892","PF"
"2023/05/17 12:22:57 PM GMT-3","Érika Mulasssani Mainardi ","Ticket: #54890","UFSC"
"2023/05/17 12:27:36 PM GMT-3","VAL ","Ticket #54895","PF"
"2023/05/17 12:28:53 PM GMT-3","VAL","Ticket #54896","PJ EMPRESARIAL"
"2023/05/17 12:30:09 PM GMT-3","VAL","Ticket #54897","PJ EMPRESARIAL"
"2023/05/17 12:30:45 PM GMT-3","Mallone Almeida","Ticket: #54898","PF"
"2023/05/17 12:32:58 PM GMT-3","Mallone Almeida","Ticket: #54899","PF"
"2023/05/17 12:33:08 PM GMT-3","Val","Ticket #54902","PJ EMPRESARIAL"
"2023/05/17 12:33:21 PM GMT-3","VAL","Ticket #54902","PJ COLETIVO POR ADESÃO"
"2023/05/17 12:34:04 PM GMT-3","Bianca","Ticket: #54903","PJ EMPRESARIAL"
"2023/05/17 12:34:36 PM GMT-3","Mallone Almeida","Ticket: #54900","PJ EMPRESARIAL"
"2023/05/17 12:36:18 PM GMT-3","Davi","Ticket #54834","INTERCAMBIO"
